; CSV, generated by libsigrok4DSL 0.2.0 on Fri May 14 15:21:41 2021
; Channels (2/2)
; Sample rate: 50 MHz
; Sample count: 10 k Samples
I[A], Uout[V]
8.819,12.402
8.819,12.402
8.740,12.402
8.740,12.402
8.740,12.402
8.740,12.402
8.740,12.402
8.819,12.402
8.740,12.402
8.819,12.402
8.819,12.402
8.819,12.402
8.819,12.402
8.819,12.402
8.819,12.402
8.740,12.402
8.819,12.402
8.740,12.402
8.819,12.402
8.819,12.402
8.819,12.402
8.819,12.402
8.819,12.402
8.819,12.402
8.819,12.402
8.819,12.402
8.819,12.402
8.819,12.402
8.819,12.402
8.819,12.402
8.819,12.402
8.819,12.402
8.819,12.205
8.819,12.402
8.819,12.402
8.819,12.402
8.819,12.402
8.819,12.402
8.819,12.402
8.819,12.402
8.819,12.402
8.898,12.402
8.819,12.402
8.819,12.402
8.898,12.402
8.898,12.402
8.819,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.819,12.402
8.898,12.402
8.819,12.402
8.819,12.402
8.819,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.976,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.898,12.402
8.976,12.402
8.898,12.402
8.898,12.402
