; CSV, generated by libsigrok4DSL 0.2.0 on Wed May 19 11:28:33 2021
; Channels (2/2)
; Sample rate: 1 MHz
; Sample count: 10 k Samples
I[10A], Ue[V]
3.622,3.543
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.543
3.661,3.543
3.661,3.583
3.661,3.543
3.661,3.504
3.701,3.504
3.701,3.504
3.701,3.425
3.740,3.504
3.740,3.504
3.740,3.504
3.740,3.504
3.740,3.543
3.740,3.543
3.740,3.504
3.780,3.425
3.780,3.425
3.780,3.386
3.819,3.425
3.819,3.425
3.819,3.425
3.819,3.425
3.819,3.425
3.780,3.425
3.819,3.465
3.819,3.425
3.819,3.425
3.819,3.425
3.819,3.425
3.858,3.425
3.819,3.425
3.819,3.425
3.819,3.425
3.819,3.425
3.819,3.425
3.858,3.425
3.858,3.425
3.858,3.346
3.858,3.425
3.858,3.425
3.858,3.425
3.858,3.425
3.819,3.425
3.858,3.465
3.858,3.425
3.858,3.425
3.898,3.386
3.858,3.346
3.898,3.386
3.858,3.425
3.858,3.425
3.858,3.425
3.858,3.425
3.858,3.425
3.858,3.425
3.898,3.386
3.858,3.425
3.898,3.386
3.898,3.386
3.898,3.386
3.898,3.425
3.858,3.425
3.858,3.425
3.858,3.425
3.898,3.425
3.898,3.386
3.898,3.386
3.937,3.425
3.898,3.386
3.898,3.386
3.898,3.425
3.858,3.386
3.858,3.425
3.898,3.425
3.898,3.386
3.937,3.386
3.937,3.386
3.937,3.346
3.937,3.346
3.937,3.346
3.898,3.346
3.898,3.425
3.898,3.386
3.858,3.386
3.898,3.386
3.898,3.386
3.898,3.346
3.937,3.346
3.898,3.346
3.937,3.346
3.898,3.386
3.898,3.386
3.858,3.386
3.898,3.425
3.858,3.386
3.898,3.346
3.898,3.386
3.898,3.346
3.898,3.386
3.898,3.386
3.898,3.386
3.898,3.346
3.858,3.425
3.858,3.425
3.858,3.386
3.898,3.386
3.898,3.346
3.898,3.346
3.937,3.307
3.898,3.346
3.898,3.386
3.858,3.425
3.858,3.425
3.898,3.346
3.858,3.386
3.898,3.386
3.898,3.346
3.937,3.346
3.898,3.386
3.898,3.346
3.898,3.346
3.858,3.386
3.858,3.346
3.858,3.386
3.858,3.386
3.858,3.386
3.898,3.346
3.898,3.307
3.898,3.346
3.898,3.346
3.898,3.386
3.898,3.386
3.858,3.386
3.858,3.425
3.858,3.386
3.858,3.346
3.858,3.386
3.898,3.346
3.898,3.307
3.898,3.346
3.858,3.386
3.858,3.386
3.858,3.386
3.858,3.346
3.858,3.386
3.858,3.346
3.858,3.346
3.898,3.346
3.858,3.346
3.858,3.346
3.858,3.346
3.858,3.346
3.858,3.386
3.858,3.386
3.858,3.346
3.858,3.386
3.858,3.346
3.858,3.346
3.858,3.346
3.858,3.346
3.858,3.346
3.858,3.346
3.858,3.346
3.819,3.386
3.819,3.386
3.858,3.346
3.858,3.386
3.858,3.346
3.858,3.307
3.858,3.346
3.858,3.386
3.858,3.386
3.819,3.386
3.819,3.386
3.858,3.386
3.819,3.346
3.858,3.346
3.858,3.307
3.858,3.307
3.819,3.268
3.858,3.346
3.819,3.386
3.858,3.346
3.819,3.346
3.819,3.346
3.819,3.386
3.819,3.346
3.858,3.346
3.858,3.386
3.858,3.346
3.819,3.346
3.819,3.346
3.819,3.346
3.819,3.386
3.819,3.386
3.819,3.346
3.819,3.346
3.819,3.346
3.819,3.346
3.819,3.346
3.819,3.346
3.819,3.386
