; CSV, generated by libsigrok4DSL 0.2.0 on Wed May 19 12:12:34 2021
; Channels (2/2)
; Sample rate: 20 MHz
; Sample count: 10 k Samples
I[10A], Ue[V]
2.874,3.858
2.874,3.780
2.913,3.780
2.913,3.780
2.913,3.780
2.913,3.701
2.913,3.701
2.913,3.858
2.913,3.780
2.913,3.701
2.913,3.780
2.913,3.701
2.913,3.701
2.913,3.701
2.913,3.701
2.913,3.701
2.913,3.701
2.913,3.701
2.913,3.701
2.913,3.701
2.953,3.701
2.953,3.701
2.953,3.701
2.913,3.701
2.953,3.701
2.953,3.701
2.953,3.780
2.953,3.701
2.953,3.780
2.953,3.701
2.953,3.701
2.953,3.780
2.913,3.701
2.953,3.701
2.953,3.701
2.992,3.701
2.953,3.701
2.953,3.780
2.992,3.858
2.953,3.701
2.992,3.701
2.953,3.780
2.992,3.780
2.992,3.701
2.992,3.701
2.953,3.780
2.953,3.701
2.992,3.701
2.992,3.780
2.992,3.780
2.992,3.701
2.992,3.701
2.992,3.780
2.992,3.701
2.992,3.701
2.992,3.701
2.992,3.701
2.992,3.701
3.031,3.780
3.031,3.701
2.992,3.780
2.992,3.701
2.992,3.701
3.031,3.701
2.992,3.701
3.031,3.780
3.031,3.701
3.031,3.780
3.031,3.701
2.992,3.701
3.031,3.780
3.031,3.701
2.992,3.780
3.031,3.780
3.031,3.701
3.031,3.780
2.992,3.701
3.031,3.701
3.031,3.780
3.031,3.858
3.031,3.780
3.031,3.701
3.031,3.780
3.031,3.780
3.031,3.701
3.031,3.780
3.031,3.701
3.031,3.701
3.031,3.780
3.031,3.780
3.031,3.701
3.031,3.780
3.031,3.780
3.031,3.701
3.031,3.701
3.031,3.701
3.031,3.701
3.031,3.701
3.031,3.858
3.031,3.701
3.031,3.780
3.031,3.780
3.031,3.701
3.031,3.701
3.031,3.701
3.031,3.701
3.071,3.701
3.031,3.701
3.031,3.780
3.031,3.701
3.031,3.701
3.071,3.701
3.031,3.701
3.031,3.780
3.031,3.701
3.031,3.701
3.031,3.701
3.071,3.701
3.031,3.701
3.071,3.701
3.071,3.701
3.031,3.701
3.071,3.701
3.071,3.701
3.071,3.701
3.071,3.780
3.031,3.701
3.071,3.701
3.071,3.701
3.071,3.701
3.071,3.701
3.071,3.701
3.071,3.701
3.071,3.701
3.071,3.701
3.071,3.701
3.071,3.701
3.071,3.701
3.071,3.701
3.071,3.701
3.071,3.701
3.071,3.701
3.071,3.701
3.071,3.701
3.071,3.701
3.071,3.701
3.071,3.701
3.071,3.701
3.071,3.701
3.071,3.701
3.071,3.701
3.071,3.701
3.110,3.701
3.071,3.701
3.071,3.701
3.071,3.701
3.071,3.701
3.110,3.701
3.110,3.701
3.110,3.701
3.110,3.701
3.110,3.701
3.071,3.701
3.110,3.701
3.110,3.701
3.110,3.701
3.110,3.701
3.110,3.701
3.110,3.701
3.110,3.701
3.110,3.701
3.110,3.701
3.110,3.701
3.110,3.701
3.150,3.701
3.150,3.701
3.110,3.701
3.150,3.701
3.110,3.701
3.110,3.701
3.150,3.701
3.110,3.701
3.110,3.701
3.150,3.701
3.110,3.701
3.150,3.701
3.150,3.701
3.150,3.701
3.150,3.701
3.150,3.701
3.150,3.701
3.110,3.701
3.150,3.701
3.150,3.701
3.110,3.701
3.150,3.701
3.150,3.701
3.150,3.701
3.189,3.701
3.150,3.701
3.150,3.701
3.189,3.701
3.150,3.701
3.150,3.701
3.189,3.701
3.150,3.701
3.150,3.701
3.189,3.701
3.189,3.701
3.189,3.701
3.150,3.701
3.189,3.701
3.189,3.701
3.189,3.701
3.189,3.701
3.189,3.701
3.189,3.701
3.189,3.701
3.189,3.701
3.189,3.701
3.189,3.701
3.189,3.701
3.189,3.701
3.189,3.701
3.189,3.701
3.189,3.701
3.189,3.622
3.189,3.701
3.189,3.701
3.189,3.701
3.189,3.701
3.189,3.701
3.228,3.622
3.189,3.701
3.189,3.622
3.228,3.622
3.189,3.701
3.189,3.701
3.189,3.622
3.228,3.701
3.189,3.701
3.228,3.622
3.189,3.701
3.189,3.701
3.189,3.701
3.228,3.701
3.228,3.701
3.228,3.622
3.228,3.701
3.228,3.701
3.228,3.701
3.189,3.701
3.228,3.701
3.228,3.701
3.228,3.701
3.228,3.622
3.189,3.622
3.228,3.701
3.228,3.701
3.228,3.701
3.228,3.622
3.228,3.701
3.228,3.701
3.228,3.622
3.228,3.701
3.228,3.701
3.228,3.701
3.228,3.701
3.228,3.701
3.228,3.701
3.228,3.701
3.228,3.701
3.228,3.701
3.228,3.701
3.228,3.701
3.228,3.701
3.228,3.622
3.228,3.622
3.228,3.701
3.228,3.701
3.228,3.701
3.268,3.622
3.228,3.701
3.228,3.701
3.228,3.701
3.228,3.701
3.228,3.701
3.228,3.701
3.268,3.622
3.228,3.622
3.228,3.228
3.189,2.441
3.228,2.441
3.189,1.811
3.189,1.024
3.189,1.181
3.189,1.654
3.189,1.181
3.189,0.945
3.189,1.496
3.189,1.417
3.189,1.024
3.150,1.339
3.150,1.496
3.189,1.339
3.110,1.496
3.110,1.181
3.110,1.181
3.110,1.496
3.110,1.417
3.071,1.102
3.110,1.654
3.110,1.654
3.071,0.866
3.071,1.496
3.071,1.732
3.071,0.866
3.071,1.339
3.071,1.811
3.031,0.866
3.031,1.181
3.031,1.811
3.031,1.024
3.031,1.024
2.992,1.654
3.031,1.102
2.992,1.024
3.031,1.496
2.992,1.181
2.992,1.024
2.992,1.339
2.992,1.417
2.953,1.024
2.992,1.181
2.953,1.417
2.953,1.024
2.953,1.181
2.913,1.339
2.953,1.102
2.913,1.102
2.913,1.181
2.913,1.181
2.913,1.102
2.913,1.181
2.913,1.181
2.874,1.102
2.874,1.181
2.874,1.181
2.874,1.102
2.874,1.181
2.874,1.181
2.874,1.181
2.874,1.102
2.835,1.181
2.874,1.181
2.835,1.181
2.835,1.181
2.835,1.181
2.795,1.181
2.795,1.181
2.795,1.181
2.795,1.181
2.795,1.181
2.795,1.181
2.756,1.181
2.756,1.181
2.756,1.181
2.756,1.181
2.756,1.181
2.756,1.181
2.756,1.181
2.756,1.181
2.717,1.181
2.756,1.260
2.717,1.181
2.717,1.181
2.717,1.260
2.717,1.181
2.717,1.260
2.677,1.339
2.717,1.339
2.717,1.260
2.677,1.260
2.638,1.339
2.677,1.260
2.638,1.339
2.677,1.339
2.598,1.339
2.638,1.339
2.638,1.339
2.638,1.339
2.598,1.339
2.598,1.339
2.598,1.417
2.598,1.339
2.598,1.339
2.598,1.417
2.598,1.339
2.559,1.339
2.559,1.417
2.559,1.417
2.559,1.417
2.559,1.417
2.559,1.417
2.559,1.339
2.559,1.417
2.520,1.417
2.520,1.339
2.520,1.417
2.520,1.417
2.520,1.417
2.520,1.417
2.520,1.417
2.480,1.339
2.480,1.339
2.480,1.417
2.480,1.417
2.480,1.339
2.480,1.496
2.441,1.339
2.441,1.339
2.441,1.339
2.441,1.417
2.441,1.417
2.441,1.339
2.441,1.339
2.402,1.417
2.402,1.339
2.402,1.339
2.402,1.417
2.402,1.339
2.402,1.339
2.402,1.339
2.402,1.339
2.362,1.260
2.362,1.181
2.362,1.339
2.362,1.339
2.323,1.181
2.362,1.339
2.362,1.339
2.323,1.260
2.323,1.260
2.323,1.339
2.323,1.260
2.323,1.260
2.323,1.339
2.323,1.260
2.283,1.181
2.283,1.339
2.283,1.260
2.283,1.181
2.283,1.260
2.244,1.339
2.283,1.260
2.244,1.260
2.244,1.339
2.244,1.260
2.244,1.181
2.244,1.339
2.244,1.339
2.244,1.260
2.244,1.339
2.205,1.339
2.244,1.260
2.205,1.339
2.205,1.339
2.205,1.260
2.165,1.339
2.205,1.339
2.205,1.339
2.165,1.339
2.205,1.417
2.165,1.339
2.165,1.339
2.165,1.339
2.165,1.339
2.126,1.339
2.126,1.339
2.126,1.417
2.126,1.339
2.126,1.339
2.087,1.339
2.087,1.417
2.087,1.496
2.087,1.417
2.087,1.417
2.087,1.417
2.087,1.496
2.047,1.417
2.087,1.496
2.087,1.496
2.087,1.496
2.008,1.496
2.047,1.496
2.008,1.496
2.008,1.496
1.969,1.496
2.008,1.496
2.008,1.496
1.969,1.496
1.969,1.496
1.969,1.496
1.969,1.496
1.969,1.496
1.969,1.496
1.969,1.496
1.929,1.496
1.929,1.496
1.969,1.496
1.929,1.496
1.969,1.575
1.929,1.496
1.929,1.496
1.929,1.496
1.890,1.496
1.929,1.496
1.890,1.496
1.890,1.575
1.850,1.575
1.929,1.654
1.850,1.496
1.850,1.575
1.850,1.575
1.850,1.575
1.850,1.496
1.850,1.496
1.850,1.575
1.850,1.654
1.850,1.575
1.850,1.496
1.850,1.496
1.811,1.496
1.811,1.654
1.811,1.496
1.811,1.575
1.811,1.496
1.811,1.575
1.772,1.575
1.811,1.654
1.772,1.575
1.811,1.496
1.772,1.496
1.772,1.575
1.772,1.575
1.772,1.496
1.772,1.496
1.772,1.575
1.772,1.496
1.772,1.496
1.772,1.496
1.772,1.496
1.732,1.496
1.732,1.575
1.732,1.496
1.732,1.496
1.732,1.496
1.732,1.575
1.732,1.496
1.693,1.496
1.693,1.496
1.693,1.496
1.693,1.496
1.693,1.575
1.693,1.654
1.654,1.575
1.654,1.496
1.654,1.654
1.654,1.496
1.654,1.496
1.654,1.575
1.654,1.496
1.654,1.654
1.654,1.575
1.614,1.575
1.614,1.575
1.614,1.575
1.614,1.575
1.654,1.654
1.614,1.654
1.614,1.654
1.614,1.654
1.614,1.575
1.614,1.654
1.614,1.654
1.614,1.654
1.614,1.575
1.614,1.575
1.614,1.654
1.575,1.575
1.575,1.654
1.575,1.654
1.614,1.654
1.575,1.654
