; CSV, generated by libsigrok4DSL 0.2.0 on Wed May 19 14:40:11 2021
; Channels (2/2)
; Sample rate: 100 MHz
; Sample count: 10 k Samples
I[10A], Ue[V]
0.551,1.969
0.551,1.969
0.551,1.969
0.551,1.969
0.551,1.969
0.551,1.969
0.551,1.969
0.551,1.969
0.551,1.969
0.551,1.969
0.551,1.969
0.551,1.969
0.551,1.969
0.551,1.969
0.551,1.969
0.551,1.969
0.551,1.969
0.551,1.969
0.551,1.969
0.551,1.969
0.551,1.969
0.551,1.969
0.512,1.969
0.551,1.969
0.551,1.969
0.551,1.969
0.551,1.969
0.551,1.969
0.551,1.969
0.512,1.969
0.551,1.969
0.551,1.969
0.551,1.969
0.551,1.969
0.551,1.969
0.551,1.969
0.551,1.969
0.551,1.969
0.551,1.969
0.551,1.969
0.512,1.969
0.512,1.969
0.512,1.969
0.551,1.969
0.512,1.969
0.512,1.969
0.512,1.969
0.512,1.969
0.512,1.969
0.512,1.969
0.512,1.969
0.512,1.969
0.512,1.969
0.512,1.969
0.512,1.969
0.512,1.969
0.512,1.969
0.512,1.969
0.512,1.969
0.512,1.969
0.512,1.969
0.512,1.969
0.512,1.969
0.512,1.969
0.512,1.969
0.512,1.969
0.512,1.969
0.512,1.890
0.512,1.969
0.512,1.890
0.512,1.969
0.512,1.890
0.512,1.969
0.512,1.811
0.512,1.969
0.512,1.890
0.512,1.890
0.512,1.890
0.512,1.890
0.512,1.811
0.512,1.890
0.512,1.969
0.512,1.890
0.512,1.811
0.512,1.811
0.512,1.890
0.512,1.890
0.512,1.890
0.512,1.890
0.512,1.969
0.512,1.969
0.512,1.890
0.512,1.890
0.512,1.969
0.512,1.969
0.512,1.969
0.512,1.969
0.512,1.969
0.512,1.969
0.512,1.969
0.512,1.969
0.512,2.047
0.512,1.969
0.512,1.969
0.512,1.969
0.512,1.969
0.512,1.969
0.512,2.047
0.512,1.969
0.512,1.969
0.512,1.969
0.512,1.969
0.512,1.969
0.512,1.969
0.512,1.969
0.512,1.969
0.512,1.969
0.512,1.890
0.512,1.969
0.512,1.969
0.551,1.890
0.512,1.811
0.512,1.969
0.512,1.890
0.551,1.890
0.512,1.811
0.512,1.811
0.512,1.811
0.512,1.811
0.512,1.811
0.512,1.811
0.512,1.811
0.512,1.811
0.512,1.811
0.512,1.811
0.512,1.811
0.512,1.811
0.512,1.811
0.512,1.811
0.512,1.811
0.512,1.732
0.512,1.732
0.512,1.732
0.512,1.732
0.512,1.732
0.512,1.732
0.512,1.732
0.512,1.654
0.512,1.732
0.512,1.732
0.512,1.654
0.512,1.654
0.512,1.654
0.512,1.654
0.512,1.654
0.512,1.575
0.512,1.654
0.512,1.575
0.512,1.654
0.512,1.575
0.512,1.654
0.512,1.654
0.512,1.575
0.512,1.654
0.512,1.654
0.512,1.575
0.512,1.654
0.512,1.575
0.512,1.654
0.512,1.575
0.512,1.654
0.512,1.575
0.512,1.654
0.512,1.654
0.512,1.654
0.512,1.654
0.512,1.654
0.512,1.654
0.512,1.654
0.512,1.575
0.512,1.496
0.512,1.496
0.512,1.496
0.512,1.496
0.512,1.496
0.512,1.496
0.512,1.496
0.512,1.496
0.512,1.496
0.512,1.575
0.512,1.575
0.512,1.575
0.512,1.654
0.512,1.575
0.512,1.496
0.512,1.496
0.512,1.496
0.512,1.496
0.512,1.496
0.512,1.496
0.512,1.496
0.512,1.496
0.512,1.496
0.512,1.496
0.512,1.496
0.512,1.496
0.512,1.496
0.512,1.496
0.512,1.496
0.512,1.496
0.512,1.496
0.512,1.496
0.512,1.417
0.512,1.496
0.512,1.496
0.512,1.417
0.512,1.417
0.512,1.417
0.512,1.339
0.512,1.339
0.551,1.339
0.512,1.339
0.512,1.417
0.512,1.339
0.512,1.417
0.512,1.417
0.551,1.339
0.512,1.339
0.551,1.417
0.512,1.339
0.512,1.339
0.512,1.260
0.512,1.339
0.512,1.260
0.512,1.260
0.512,1.339
0.512,1.339
0.512,1.339
0.512,1.339
0.512,1.339
0.512,1.339
0.512,1.339
0.512,1.339
0.512,1.260
0.551,1.339
0.512,1.260
0.512,1.417
0.512,1.102
0.512,1.496
0.512,1.496
0.551,1.417
0.512,1.417
0.551,1.496
0.551,1.732
0.551,2.283
0.512,2.756
0.512,2.756
0.551,2.362
0.551,2.362
0.551,2.441
0.551,2.126
0.551,1.811
0.551,1.417
0.551,1.181
0.551,1.181
0.551,1.181
0.551,1.496
0.551,1.496
0.591,1.575
0.551,1.811
0.551,2.126
0.551,2.283
0.591,2.441
0.591,2.598
0.591,2.283
0.551,2.126
0.591,2.126
0.591,1.811
0.591,1.496
0.591,1.339
0.591,1.181
0.591,1.181
0.591,1.496
0.591,1.654
0.591,1.732
0.591,1.969
0.591,2.126
0.591,2.362
0.591,2.362
0.591,2.362
0.630,2.283
0.591,2.047
0.591,1.732
0.591,1.496
0.591,1.260
0.630,1.024
0.630,0.866
0.591,0.866
0.630,1.024
0.591,1.260
0.630,1.732
0.630,2.126
0.630,2.520
0.630,2.598
0.630,2.756
0.630,2.756
0.630,2.598
0.591,2.362
0.630,2.126
0.630,1.732
0.630,1.417
0.630,1.181
0.630,1.181
0.630,1.102
0.630,1.181
0.630,1.417
0.630,1.654
0.630,1.969
0.630,2.283
0.630,2.598
0.630,2.598
0.630,2.756
0.630,2.756
0.630,2.835
0.630,2.756
0.630,2.677
0.630,2.598
0.630,2.441
0.630,2.520
0.630,2.677
0.630,2.756
0.630,2.992
0.630,3.228
0.630,3.622
0.630,4.016
0.669,4.252
0.630,4.646
0.630,4.803
0.630,4.882
0.630,4.961
0.669,4.961
0.630,4.961
0.630,4.646
0.630,4.488
0.630,4.252
0.630,4.016
0.630,3.858
0.630,3.858
0.630,3.780
0.630,3.858
0.630,4.016
0.630,4.331
0.630,4.488
0.630,4.646
0.630,4.803
0.630,4.882
0.630,4.882
0.630,4.882
0.669,4.803
0.630,4.646
0.630,4.488
0.630,4.331
0.630,4.331
0.669,4.252
0.630,4.173
0.630,4.252
0.630,4.331
0.630,4.331
0.630,4.646
0.630,4.646
0.630,4.803
0.630,4.882
0.630,4.882
0.591,4.961
0.630,4.882
0.630,4.882
0.591,4.803
0.630,4.646
0.630,4.567
0.630,4.488
0.591,4.409
0.630,4.409
0.630,4.488
0.591,4.488
0.630,4.567
0.591,4.646
0.630,4.646
0.591,4.646
0.630,4.646
0.591,4.646
0.630,4.646
0.630,4.488
0.630,4.331
0.630,4.252
0.630,4.173
0.591,4.016
0.630,4.016
0.630,3.937
0.591,3.858
0.630,3.858
0.591,3.858
0.630,3.858
0.630,3.937
0.630,3.937
0.591,3.937
0.591,3.937
0.630,3.858
0.630,3.858
0.630,3.780
0.591,3.701
0.630,3.622
0.591,3.622
0.630,3.465
0.591,3.386
0.630,3.386
0.630,3.465
0.630,3.543
0.630,3.543
0.630,3.622
0.591,3.701
0.630,3.701
0.630,3.780
0.630,3.780
0.630,3.701
0.630,3.780
0.630,3.701
0.630,3.701
0.630,3.701
0.630,3.622
0.630,3.622
0.630,3.622
0.630,3.701
0.630,3.701
0.630,3.858
0.630,3.937
0.630,4.016
0.630,4.173
0.630,4.252
0.630,4.331
0.630,4.331
0.630,4.331
0.630,4.331
0.630,4.331
0.630,4.331
0.630,4.331
0.630,4.331
0.630,4.409
0.630,4.488
0.591,4.567
0.630,4.646
0.591,4.646
0.630,4.803
0.630,4.882
0.630,4.961
0.630,4.961
0.630,4.961
0.630,4.961
0.630,4.961
0.630,4.961
0.630,4.882
0.630,4.882
0.630,4.803
0.630,4.803
0.630,4.803
0.591,4.882
0.630,4.882
0.591,4.882
0.630,4.882
0.630,4.961
0.630,4.961
0.630,4.882
0.630,4.803
0.630,4.724
0.630,4.724
0.591,4.646
0.630,4.567
0.630,4.488
0.630,4.331
0.630,4.331
0.630,4.331
0.591,4.331
0.630,4.331
0.630,4.252
0.630,4.252
0.630,4.331
0.630,4.252
0.630,4.252
0.630,4.173
0.630,4.094
0.630,4.016
0.630,4.016
0.630,3.937
0.630,3.858
0.630,3.858
0.669,3.858
0.630,3.858
0.630,3.858
0.630,3.858
0.630,3.937
0.630,3.858
0.630,3.858
0.630,3.937
0.630,3.937
0.630,3.937
0.669,3.937
0.630,3.858
0.630,3.858
0.630,3.858
